SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
07481.*A,AIRPORT,3R2,9/20/12,ASW,LNM,LA,LOUISIANA,ACADIA,LA,CROWLEY,LE GROS MEMORIAL,PU,PU,ACADIA PARISH,PO BOX A,"CROWLEY, LA 70527-6001",    318-788-8800,TERRY LACOMBE,PO BOX A,"CROWLEY, LA 70527-6001",    318-788-8800,30-09-42.4000N,108582.4000N,092-29-02.3000W,332942.3000W,E,14,S,04E,1985,,HOUSTON,7,SW,640,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,7/1/43,O,,NGY3,NO OBJECTION,N,N,N,Y,S,S,12072011,,,,,NONE,NONE,SEE RMK,SS-SR,N,,122.9,N,CG,N,,10,0,0,0,,,,,,,5000,2000,,12/7/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",AGRI,Y-L
07493.*A,AIRPORT,DRI,9/20/12,ASW,LNM,LA,LOUISIANA,BEAUREGARD,LA,DE RIDDER,BEAUREGARD RGNL,PU,PU,BEAUREGARD PARISH,1220 1ST AVE,"DERIDDER, LA 70634",    337-463-8250,SAM LACK,1220 1ST AVE,"DERIDDER, LA 70634",    337-463-8250,30-49-54.2000N,110994.2000N,093-20-23.7000W,336023.7000W,E,202,S,04E,1990,1000,HOUSTON,3,SW,4300,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,4/1/40,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,5312012,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,16,4,0,0,,,,,,,7200,6200,1000,5/31/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",INSTR,Y-L
07541.*A,AIRPORT,HDC,9/20/12,ASW,LNM,LA,LOUISIANA,TANGIPAHOA,LA,HAMMOND,HAMMOND NORTHSHORE RGNL,PU,PU,CITY OF HAMMOND,PO BOX 2877,"HAMMOND, LA 70404-2788",    985-277-5600,JASON BALL,600 JUDGE LEON FORD DRIVE,"HAMMOND, LA 70401",    985-277-5667,30-31-18.0747N,109878.0747N,090-25-06.1707W,325506.1707W,E,46,E,00E,2010,956,NEW ORLEANS,3,NE,920,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,11/1/41,O,,NGPY3,NO OBJECTION,N,N,N,Y,S,S,8182011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,N,CG,N,,84,16,13,4,,20,,,,1500,37800,25550,12000,8/18/11,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
07556.*A,AIRPORT,HUM,9/20/12,ASW,LNM,LA,LOUISIANA,TERREBONNE,LA,HOUMA,HOUMA-TERREBONNE,PU,PU,HOUMA-TERREBONNE AIRPORT CMSN,10264 EAST MAIN ST,"HOUMA, LA 70363",    985-872-4646,DAVID SLAYTER,10264 EAST MAIN ST,"HOUMA, LA 70363",    985-872-4646,29-33-59.4075N,106439.4075N,090-39-37.5360W,326377.5360W,E,9,S,01E,2010,1000,NEW ORLEANS,3,SE,1813,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,HUM,Y,4/1/40,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,4112012,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,125.3,N,CG,N,,35,23,6,72,,,,,,50124,18021,20091,384,4/11/12,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CHTR,INSTR",Y-L
07589.*A,AIRPORT,LFT,9/20/12,ASW,LNM,LA,LOUISIANA,LAFAYETTE,LA,LAFAYETTE,LAFAYETTE RGNL,PU,PU,CITY PARISH OF LAFAYETTE,222 TOWER DRIVE,"LAFAYETTE, LA 70508",    337-266-4400,GREG ROBERTS AAE,222 TOWER DRIVE,"LAFAYETTE, LA 70508",    337-266-4400,30-12-18.9000N,108738.9000N,091-59-15.4000W,331155.4000W,E,42,S,03E,1990,,HOUSTON,2,SE,746,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,LFT,Y,4/1/40,O,I B S 05/1973,NGPY3,NO OBJECTION,N,N,N,Y,F,F,6242011,,100LLA,MAJOR,MAJOR,LOW,HIGH,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,,,75,24,27,17,,,,624,,30770,22474,8968,860,4/30/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
07594.3*A,AIRPORT,CWF,9/20/12,ASW,LNM,LA,LOUISIANA,CALCASIEU,LA,LAKE CHARLES,CHENNAULT INTL,PU,PU,CHENNAULT INTL ARPT AUTHORITY,3650 SEN. J. BENNETT JOHNSTON AVE,"LAKE CHARLES, LA 70615-6849",    337-491-9961,RANDOLPH R. ROBB,3650 SEN. J. BENNETT JOHNSTON AVE,"LAKE CHARLES, LA 70615-6849",    337-491-9961,30-12-38.1000N,108758.1000N,093-08-35.5000W,335315.5000W,E,17,S,04E,1990,1483,HOUSTON,4,E,1310,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,CWF,Y,1/1/64,O,IV A U 07/1992,N,CONDITIONAL,N,N,N,Y,S,F,6182010,4291987,100LLA1+,,,LOW,NONE,SEE RMK,SS-SR,Y,122.95,124.2,Y,CG,N,,13,6,10,0,,6,,257,,3350,3668,3503,9350,12/31/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CARGO,INSTR,RNTL",Y-L
07594.1*A,AIRPORT,LCH,9/20/12,ASW,LNM,LA,LOUISIANA,CALCASIEU,LA,LAKE CHARLES,LAKE CHARLES RGNL,PU,PU,CALCASIEU PARISH,PO BOX 5820,"LAKE CHARLES, LA 70607",    337-477-6051,HEATH ALLEN,PO DRAWER 5820,"LAKE CHARLES, LA 70607-5820",    337-477-6051,30-07-33.9000N,108453.9000N,093-13-24.3000W,335604.3000W,E,15,S,03E,2005,,HOUSTON,5,S,1878,ZHU,ZCH,HOUSTON,,,,,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,LCH,Y,11/1/61,O,I A S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,4052012,,100LLA1+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,120.7,Y,CG,N,,33,10,3,185,,,,80,,7502,14757,24929,5050,5/31/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL",Y-L
07632.*A,AIRPORT,3F3,9/20/12,ASW,LNM,LA,LOUISIANA,DE SOTO,LA,MANSFIELD,C E 'RUSTY' WILLIAMS,PU,PU,DE SOTO PARISH POLICE JURY,PO BOX 898,"MANSFIELD, LA 71052",    318-872-0738,RANDI WALDING,PO BOX 898,"MANSFIELD, LA 71052",    318-871-8900,32-04-22.0000N,115462.0000N,093-45-56.2000W,337556.2000W,E,324,S,04E,1990,,MEMPHIS,3,NW,1044,ZFW,ZCF,FORT WORTH,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,2/1/44,O,,NGY3,NO OBJECTION,N,N,N,Y,S,S,8042010,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,9,1,,,,,,,,,4000,5000,300,8/4/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AGRI,INSTR",Y-L
07658.*A,AIRPORT,MLU,9/20/12,ASW,LNM,LA,LOUISIANA,OUACHITA,LA,MONROE,MONROE RGNL,PU,PU,CITY OF MONROE,PO BOX 123,"MONROE, LA 71210",    318-329-2200,CLEVE NORRELL,5400 OPERATIONS RD,"MONROE, LA 71203",    318-329-2461,32-30-39.1000N,117039.1000N,092-02-15.6000W,331335.6000W,E,79,S,03E,1995,,MEMPHIS,3,E,2660,ZFW,ZCF,FORT WORTH,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,MLU,Y,4/1/40,O,I B S 05/1973,NGPY,NO OBJECTION,N,N,N,Y,F,F,4272010,,100LLA,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,118.9,Y,CG,N,,72,15,6,,,,,4602,,5351,6471,17231,8558,3/1/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
07670.*A,AIRPORT,ARA,9/20/12,ASW,LNM,LA,LOUISIANA,IBERIA,LA,NEW IBERIA,ACADIANA RGNL,PU,PU,IBERIA PARISH GOVERMENT,300 IBERIA ST,"NEW IBERIA, LA 70560",    337-365-8246,F. JASON DEVILLIER,1404 HANGAR DR,"NEW IBERIA, LA 70560",    337-365-7202,30-02-15.9300N,108135.9300N,091-53-02.0260W,330782.0260W,E,24,S,03E,1990,1000,HOUSTON,4,NW,2328,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,ARA,Y,2/1/44,O,IV A U 05/1975,NGPY3,NO OBJECTION,N,N,N,Y,F,F,6212011,,100LLA,MINOR,MINOR,LOW,NONE,SEE RMK,SS-SR,Y,122.95,125,Y,CG,N,,39,6,,11,,,,3,,795,4348,1141,4690,12/31/10,NGS,,,,,"HGR,TIE","AFRT,CARGO,INSTR",Y-L
07675.*A,AIRPORT,MSY,9/20/12,ASW,LNM,LA,LOUISIANA,JEFFERSON,LA,NEW ORLEANS,LOUIS ARMSTRONG NEW ORLEANS INTL,PU,PU,CITY OF NEW ORLEANS,PO BOX 20007,"NEW ORLEANS, LA 70141",    504-658-4900,IFTIKHAR AHMAD,PO BOX 20007,"NEW ORLEANS, LA 70141",    504-628-2426,29-59-36.2000N,107976.2000N,090-15-28.9000W,324928.9000W,E,4,S,02E,1990,,NEW ORLEANS,10,W,1500,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,MSY,Y,10/1/44,O,I D S 05/1973,NGY3,NO OBJECTION,N,Y,N,Y,F,F,5172012,,100LLA,NONE,NONE,NONE,NONE,SS-SR,SS-SR,Y,122.95,,N,CG,N,,6,1,7,5,,,,90201,,13103,,18515,1320,12/31/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,CARGO",Y-L
07682.2*A,AIRPORT,ACP,9/20/12,ASW,LNM,LA,LOUISIANA,ALLEN,LA,OAKDALE,ALLEN PARISH,PU,PU,ALLEN PARISH POLICE JURY,P. O. DRAWER G,"OBERLIN, LA 70655",    337-639-4328,JOEL B JOHNSON,278 AIRPORT ROAD,"OAKDALE, LA 71463",    318-215-0090,30-45-01.7994N,110701.7994N,092-41-18.5691W,333678.5691W,E,107,S,03E,1995,,HOUSTON,4,S,538,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,12/1/68,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,12062011,,100LLA,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,7,,,,,,,,,,8000,3000,1500,12/6/11,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",AGRI,Y-L
07691.*A,AIRPORT,OPL,9/20/12,ASW,LNM,LA,LOUISIANA,ST LANDRY,LA,OPELOUSAS,ST LANDRY PARISH-AHART FIELD,PU,PU,POLICE JURY,"ST. LANDRY PARISH, P. O. BOX 1550","OPELOUSAS, LA 70571",    337-948-3688,MR. ROBERT SPEYRER,299 HANGER RD.,"OPELOUSAS, LA 70570",    337-407-1551,30-33-30.2000N,110010.2000N,092-05-57.8000W,331557.8000W,E,75,S,01E,2010,,HOUSTON,2,NW,537,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,10/1/47,O,,NGY3,NO OBJECTION,N,N,N,Y,S,S,3082012,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,26,6,0,1,,,4,,,,10500,7500,,3/8/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AGRI,CHTR,INSTR",Y-L
07710.*A,AIRPORT,L66,9/20/12,ASW,LNM,LA,LOUISIANA,GRANT,LA,POLLOCK,POLLOCK MUNI,PU,PU,CITY OF POLLOCK,PO BOX 189,"POLLOCK, LA 71467",    318-765-3796,GREGG JONES,P. O. BOX 4478,"PINEVILLE, LA 71361",    318-446-4040,31-28-38.9000N,113318.9000N,092-27-40.2000W,332860.2000W,E,203,S,04E,1985,,HOUSTON,4,SW,2930,ZHU,ZCH,HOUSTON,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,2/1/44,O,,P,NOT ANALYZED,N,N,Y,Y,S,S,6202012,,,,,NONE,NONE,SEE RMK,SS-SR,N,,122.9,N,CG,N,,,,,,,,,,,,1000,250,1000,6/20/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",,Y-L
07739.*A,AIRPORT,DTN,9/20/12,ASW,LNM,LA,LOUISIANA,BOSSIER,LA,SHREVEPORT,SHREVEPORT DOWNTOWN,PU,PU,SHREVEPORT ARPT AUTHORITY,"5103 HOLLYWOOD, SUITE 300","SHREVEPORT, LA 71109-7764",    318-673-5370,JERRY MCKINNEY,"1550 AIRPORT ROAD, SUITE 100","SHREVEPORT, LA 71107",    318-673-5398,32-32-24.7880N,117144.7880N,093-44-42.0810W,337482.0810W,E,179,S,05E,1985,,MEMPHIS,3,N,600,ZFW,ZCF,FORT WORTH,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DTN,Y,4/1/40,O,,NGPY3,NO OBJECTION,N,N,N,Y,S,S,1122012,,100LLA,MAJOR,MAJOR,HIGH,LOW,SS-SR,SS-SR,Y,122.95,120.225,N,CG,N,,207,47,3,1,,,2,,,310,31762,28343,254,1/12/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","INSTR,RNTL",Y-L
07735.*A,AIRPORT,SHV,9/20/12,ASW,LNM,LA,LOUISIANA,CADDO,LA,SHREVEPORT,SHREVEPORT RGNL,PU,PU,CITY OF SHREVEPORT,505 TRAVIS STREET,"SHREVEPORT, LA 71101",    318-673-5050,BILL COOKSEY,5103 HOLLYWOOD AVE SUITE 300,"SHREVEPORT, LA 71109",    318-673-5370,32-26-47.8000N,116807.8000N,093-49-32.2000W,337772.2000W,E,258,S,04E,1995,,MEMPHIS,4,SW,1625,ZFW,ZCF,FORT WORTH,,,,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,SHV,Y,8/1/52,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,2022012,,100LLA,MAJOR,MAJOR,HIGH,,SS-SR,SS-SR,Y,122.95,,N,CG,N,,28,23,30,5,,,,7423,,14832,9833,11859,2993,1/1/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR",Y-L
08750.*A,AIRPORT,BED,9/20/12,ANE,NONE,MA,MASSACHUSETTS,MIDDLESEX,MA,BEDFORD,LAURENCE G HANSCOM FLD,PU,PU,MASS PORT AUTHORITY,ONE HARBORSIDE DR,"E BOSTON, MA 02128",    617-428-2800,BARBARA PATZNER,200 HANSCOM DRIVE,"BEDFORD, MA 01730",    781-869-8000,42-28-11.8000N,152891.8000N,071-17-20.4000W,256640.4000W,E,132,S,16W,1995,,NEW YORK,0,NE,1125,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,BED,Y,4/1/43,O,I B S 09/1999,NGPRY3,NOT ANALYZED,N,Y,N,Y,F,F,3022011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,Y,,176,21,61,14,,,,335,,18087,66038,77166,1795,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
08778.*A,AIRPORT,BOS,9/20/12,ANE,NONE,MA,MASSACHUSETTS,SUFFOLK,MA,BOSTON,GENERAL EDWARD LAWRENCE LOGAN INTL,PU,PU,MASS PORT AUTHORITY,ONE HARBORSIDE DR STE 200S,"BOSTON, MA 02128",    617-428-2800,EDWARD FRENI,"LOGAN INTERNATIONAL AIRPORT, ONE HARBORSIDE DR STE 200S","EAST BOSTON, MA 02128-2909",    617-567-5400,42-21-46.7000N,152506.7000N,071-00-23.1000W,255623.1000W,E,20,S,16W,1995,,NEW YORK,1,E,2384,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,BOS,Y,4/1/40,O,I E S 09/1972,NGPY3,CONDITIONAL,N,Y,N,Y,F,F,10212011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,,,,,,,,251709,,89830,,24002,0,9/30/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,"AFRT,CARGO,CHTR",Y-L
08995.*A,AIRPORT,HYA,9/20/12,ANE,NONE,MA,MASSACHUSETTS,BARNSTABLE,MA,HYANNIS,BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD,PU,PU,TOWN OF BARNSTABLE,TOWN HALL 367 MAIN ST,"HYANNIS, MA 02601",    508-862-4600,RW BUD BREAULT,480 BARNSTABLE RD,"HYANNIS, MA 02601",    508-775-2020,41-40-09.6000N,150009.6000N,070-16-49.3000W,253009.3000W,E,54,S,16W,1995,,NEW YORK,1,N,639,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,HYA,Y,2/1/40,O,I A S 05/1973,NGPY3,NOT ANALYZED,N,N,N,Y,F,F,6082011,1101991,100LLA,MAJOR,MAJOR,NONE,NONE,,SEE RMK,Y,122.95,119.5,Y,CG,N,,43,7,3,,,,,0,,76832,20051,5631,211,4/30/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
09110.*A,AIRPORT,ACK,9/20/12,ANE,NONE,MA,MASSACHUSETTS,NANTUCKET,MA,NANTUCKET,NANTUCKET MEMORIAL,PU,PU,TOWN OF NANTUCKET,SELECTMAN'S OFFICE,"NANTUCKET, MA 02554",    508-325-5304,THOMAS M. RAFTER,30 AIRPORT ROAD,"NANTUCKET, MA 02554",    508-325-5304,41-15-11.2000N,148511.2000N,070-03-37.1000W,252217.1000W,E,47,S,16W,1995,,NEW YORK,3,SE,1200,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,ACK,Y,4/1/40,O,I B S 05/1973,NGRY3,NOT ANALYZED,N,N,N,Y,F,F,5082012,,100LLA,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,122.95,118.3,Y,CG,Y,,14,10,0,0,,,,530,,89018,167,30223,821,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CHTR",Y-L
09112.*A,AIRPORT,EWB,9/20/12,ANE,NONE,MA,MASSACHUSETTS,BRISTOL,MA,NEW BEDFORD,NEW BEDFORD RGNL,PU,PU,CITY OF NEW BEDFORD,WILLIAMS ST,"NEW BEDFORD, MA 02740",    508-979-1410,THOMAS M. VICK,1569 AIRPORT ROAD,"NEW BEDFORD, MA 02746",    508-991-6160,41-40-35.6000N,150035.6000N,070-57-28.1000W,255448.1000W,E,78,S,16W,1995,,NEW YORK,2,NW,847,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,EWB,Y,4/1/42,O,,NGRY3,CONDITIONAL,N,Y,N,Y,S,S,6292011,,100LLA,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,Y,122.95,118.1,N,CG,N,,101,15,4,,,,1,,,7920,26985,21962,474,6/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y
09180.*A,AIRPORT,OWD,9/20/12,ANE,NONE,MA,MASSACHUSETTS,NORFOLK,MA,NORWOOD,NORWOOD MEMORIAL,PU,PU,TOWN OF NORWOOD,566 WASHINGTON STREET,"NORWOOD, MA 02062",    781-762-1240,RUSS MAGUIRE,125 ACESS ROAD,"NORWOOD, MA 02062",    781-255-5616,42-11-25.9000N,151885.9000N,071-10-22.6000W,256222.6000W,E,49,S,15W,1980,,NEW YORK,2,E,688,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,OWD,Y,3/1/43,O,,NGY3,NOT ANALYZED,N,N,N,Y,S,S,7142011,,100LLA,MAJOR,MAJOR,LOW,NONE,SEE RMK,SS-SR,Y,,126,N,CG,N,,130,11,8,9,,,,,,22000,40000,37000,800,7/1/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AMB,CHTR,INSTR,RNTL,SALES,SURV",Y-L
09187.*A,AIRPORT,ORE,9/20/12,ANE,NONE,MA,MASSACHUSETTS,FRANKLIN,MA,ORANGE,ORANGE MUNI,PU,PU,TOWN OF ORANGE,6 PROSPECT ST,"ORANGE, MA 01364",    978-544-1100,LEONARD BEDAW,80 AIRPORT STREET,"ORANGE, MA 01364",    978-544-8189,42-34-12.0000N,153252.0000N,072-17-18.6000W,260238.6000W,E,555,S,15W,2005,,NEW YORK,1,SE,580,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,ORE,Y,4/1/40,O,,NGY3,NOT ANALYZED,N,N,N,Y,S,S,8242011,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,40,2,0,0,,,7,,,10000,8000,15000,14,8/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"CHTR,INSTR,PAJA,RNTL,SALES",Y
09203.*A,AIRPORT,PSF,9/20/12,ANE,NONE,MA,MASSACHUSETTS,BERKSHIRE,MA,PITTSFIELD,PITTSFIELD MUNI,PU,PU,CITY OF PITTSFIELD,70 ALLEN ST,"PITTSFIELD, MA 01201",    413-448-9790,MARK GERMANOWSKI,"PITTSFIELD MUNICIPAL AIRPORT, 832 TAMARACK ROAD","PITTSFIELD, MA 01201",    413-448-9790,42-25-36.6000N,152736.6000N,073-17-34.5000W,263854.5000W,E,1194,S,15W,2000,,NEW YORK,2,W,550,ZBW,ZCB,BOSTON,,,,N,BTV,BURLINGTON,,1-800-WX-BRIEF,,,,PSF,Y,5/1/41,O,,NGY,NOT ANALYZED,N,Y,N,Y,S,S,11292011,,100LLA,MAJOR,MAJOR,LOW,NONE,,SEE RMK,N,122.7,122.7,Y,CG,N,,30,5,4,1,,,,,,3000,20000,10000,500,11/29/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL,SALES",Y
09207.*A,AIRPORT,PYM,9/20/12,ANE,NONE,MA,MASSACHUSETTS,PLYMOUTH,MA,PLYMOUTH,PLYMOUTH MUNI,PU,PU,TOWN OF PLYMOUTH,11 LINCOLN STREET,"PLYMOUTH, MA 02360",    508-747-1620,TOM MAHER,"246 SOUTH MEADOW RD, SOUTH MEADOW RD","PLYMOUTH, MA 02360",    508-746-2020,41-54-32.5000N,150872.5000N,070-43-43.6000W,254623.6000W,E,148,S,16W,1995,,NEW YORK,4,SW,758,ZBW,ZCB,BOSTON,,,,N,BDR,BRIDGEPORT,,1-800-WX-BRIEF,,,,PYM,Y,3/1/41,O,,NGPY,NOT ANALYZED,N,N,N,Y,S,S,3292011,,100LLA,MAJOR,MAJOR,LOW,LOW,SEE RMK,SS-SR,N,123,123,Y,CG,N,,96,14,4,11,0,,0,,,5000,30000,20000,300,3/1/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AGRI,CHTR,INSTR,RNTL,SALES",Y
09304.02*A,AIRPORT,CEF,9/20/12,ANE,NONE,MA,MASSACHUSETTS,HAMPDEN,MA,SPRINGFIELD/CHICOPEE,WESTOVER ARB/METROPOLITAN,MA,PU,USAF RESERVES,439TH OSS/OSA 750 HANGAR AVE,"CHICOPEE, MA 01022",    413-557-2187,MICHAEL BOLTON,"WESTOVER METROPOLITAN AIRPORT, 255 PADGETTE STREET","CHICOPEE, MA 01022",    413-593-5543,42-11-38.4500N,151898.4500N,072-32-05.2200W,261125.2200W,E,241,S,14W,1980,,NEW YORK,3,NE,2500,ZBW,ZCB,BOSTON,,,,N,BTV,BURLINGTON,,1-800-WX-BRIEF,,,,CEF,Y,7/1/42,O,I E S 09/1981,NP,NOT ANALYZED,,,Y,N,F,F,7012009,9091976,100LLA,,,,,,SEE RMK,Y,122.95,134.85,N,SCG,Y,,24,3,2,1,,16,1,764,,,9222,10899,27337,5/31/09,MILITARY,00:00.0,MILITARY,00:00.0,,"HGR,TIE","CHTR,RNTL",Y
